,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
385,ereymentau,95,KZ,1577326290,75,51.62,73.1,10.69,14.14
386,mittagong,12,AU,1577326290,45,-34.45,150.45,88.0,12.75
387,pauini,100,BR,1577326291,98,-7.71,-67.0,73.15,1.83
388,kruisfontein,95,ZA,1577326291,81,-34.0,24.73,59.43,2.42
389,usinsk,45,RU,1577326291,93,66.0,57.56,-14.53,9.51
390,tuktoyaktuk,90,CA,1577326291,75,69.44,-133.03,-20.2,12.75
391,zhigalovo,100,RU,1577326291,97,54.81,105.15,-3.05,2.73
392,wladyslawowo,75,PL,1577326292,93,54.79,18.4,41.0,8.05
393,derry,75,US,1577326292,74,42.88,-71.33,32.0,1.9
394,kuryk,98,KZ,1577326292,88,43.18,51.68,48.97,8.03
395,ippy,25,CF,1577326292,30,6.26,21.2,68.34,5.23
396,cachoeira do sul,0,BR,1577326292,54,-30.05,-52.89,72.45,4.74
397,vieux-habitants,20,GP,1577326292,88,16.06,-61.77,77.0,4.7
398,carquefou,100,FR,1577326292,93,47.3,-1.49,46.4,4.7
399,ixtapa,5,MX,1577326021,83,20.71,-105.21,75.2,2.24
400,san cristobal,6,HN,1577326292,92,14.68,-86.92,62.1,2.33
401,westport,1,US,1577326263,86,41.14,-73.36,37.4,1.74
402,mahanoro,100,MG,1577326293,78,-19.9,48.8,81.95,14.72
403,mamontovo,100,RU,1577326293,94,52.71,81.63,15.53,13.4
404,oyo,0,NG,1577326293,65,7.84,3.93,77.0,5.82
405,eenhana,63,NA,1577326293,51,-17.48,16.34,80.6,3.36
406,vardo,1,US,1577326293,92,39.62,-77.74,37.4,3.36
407,seoul,40,KR,1577326293,100,37.57,126.98,39.2,3.36
408,picos,100,BR,1577326293,42,-7.08,-41.47,83.61,1.43
409,pulaski,1,US,1577326293,93,37.05,-80.78,46.99,3.36
410,olga,90,US,1577326294,62,34.11,-118.17,57.2,8.05
411,tibati,0,CM,1577326294,26,6.47,12.63,64.13,2.59
412,port hardy,20,CA,1577326294,94,50.7,-127.42,32.0,2.24
413,tabuk,11,PH,1577326294,73,17.41,121.44,82.15,6.24
414,marfino,90,RU,1577326294,84,56.07,37.56,34.0,6.71
415,taitung,75,TW,1577326294,65,22.76,121.15,78.8,6.93
416,natal,20,BR,1577326087,74,-5.81,-35.21,80.6,12.75
417,iqaluit,75,CA,1577326298,77,63.75,-68.52,0.0,1.19
418,changji,100,CN,1577326299,75,32.07,116.17,41.65,13.67
419,boyabat,95,TR,1577326299,95,41.47,34.77,39.33,0.87
420,phan thiet,100,VN,1577326203,59,10.93,108.1,82.11,2.77
421,athabasca,0,CA,1577326102,88,54.72,-113.29,15.96,8.95
422,rio cuarto,20,AR,1577326303,67,-33.13,-64.35,62.6,6.93
423,ferkessedougou,0,CI,1577326303,15,9.6,-5.2,65.8,1.7
424,hermosillo,40,MX,1577326279,72,29.09,-110.96,60.8,4.7
425,fernie,75,CA,1577326303,85,49.5,-115.06,21.2,4.7
426,lahij,98,YE,1577326303,68,13.06,44.88,74.37,8.37
427,mizdah,0,LY,1577326146,55,31.45,12.98,47.07,7.14
428,dubasari,90,MD,1577326303,80,47.26,29.16,41.0,14.99
429,chhatapur,53,IN,1577326303,65,23.07,86.96,64.45,9.37
430,oistins,20,BB,1577326304,78,13.07,-59.53,80.6,18.34
431,grants,40,US,1577326304,86,35.15,-107.85,28.4,5.82
432,vertientes,20,CU,1577326304,88,21.26,-78.15,68.0,9.17
433,paita,3,PE,1577326304,72,-5.09,-81.11,72.72,8.86
434,miraflores,75,PE,1577326304,59,-16.39,-71.52,60.8,0.6
435,xianshuigu,71,CN,1577326304,86,38.98,117.38,30.2,2.24
436,kuusankoski,90,FI,1577326305,98,60.91,26.62,32.0,3.36
437,doha,0,QA,1577326305,72,25.29,51.53,62.6,3.36
438,kokopo,100,PG,1577326305,83,-4.34,152.27,81.05,16.93
439,mgandu,76,TZ,1577326305,97,-5.96,34.11,60.37,3.15
440,college,75,US,1577326095,75,64.86,-147.8,-14.8,2.98
441,sri aman,75,MY,1577326305,88,1.24,111.46,80.6,3.36
442,sao gabriel da cachoeira,58,BR,1577326305,98,-0.13,-67.09,73.44,1.77
443,lumeje,100,AO,1577326305,95,-11.56,20.78,65.59,4.94
444,valdosta,1,US,1577325774,71,30.83,-83.28,60.8,7.65
445,sambava,100,MG,1577326309,97,-14.27,50.17,72.55,2.82
446,goderich,100,CA,1577326272,94,43.74,-81.71,37.0,11.01
447,port blair,0,IN,1577326309,68,11.67,92.75,79.05,6.73
448,shangqiu,0,CN,1577326309,65,34.42,115.65,45.0,1.01
449,toora-khem,100,RU,1577326310,97,52.47,96.11,3.15,3.6
450,henties bay,21,NA,1577326311,90,-22.12,14.28,61.0,1.99
451,devonport,100,AU,1577326311,54,-41.18,146.36,79.0,8.01
452,ust-nera,100,RU,1577326311,96,64.57,143.24,-25.44,3.58
453,faya,45,SA,1577326311,93,18.39,42.45,51.8,5.82
454,arak,0,IR,1577326311,38,34.1,49.69,29.62,7.02
455,pecos,1,US,1577326311,54,31.42,-103.49,59.0,3.36
456,kutum,0,SD,1577326311,18,14.2,24.66,49.05,4.43
457,omboue,72,GA,1577326311,94,-1.57,9.26,74.77,1.36
458,mattawa,90,CA,1577326311,79,46.32,-78.7,26.01,14.99
459,havre-saint-pierre,1,CA,1577326312,71,50.23,-63.6,5.0,11.41
460,san juan de los morros,59,VE,1577326312,90,9.91,-67.35,68.74,2.13
461,shelburne,90,CA,1577326312,98,44.08,-80.2,35.01,3.36
462,halifax,5,CA,1577326122,92,44.65,-63.58,21.99,5.82
463,senno,100,RU,1577326312,93,57.76,27.95,37.4,8.95
464,muli,100,CN,1577326312,62,28.08,109.56,43.93,11.59
465,guanica,1,PR,1577326312,86,17.97,-66.91,82.0,9.17
466,wewak,100,PG,1577326313,77,-3.55,143.63,82.33,13.04
467,clarence town,0,AU,1577326313,39,-32.59,151.78,84.99,14.99
468,dingle,2,PH,1577326313,74,11.0,122.67,84.09,6.44
469,yarada,40,IN,1577326313,100,17.65,83.27,66.2,2.24
470,san patricio,3,PY,1577326313,65,-26.98,-56.83,79.09,5.21
471,ziro,98,IN,1577326313,81,27.54,93.82,49.01,2.21
472,ust-ishim,97,RU,1577326313,90,57.69,71.17,-1.93,4.9
473,mana,0,NG,1577326313,9,13.03,5.27,60.8,12.44
474,solnechnyy,83,RU,1577326314,87,50.72,136.64,-11.34,3.44
475,sorong,100,ID,1577326314,73,-0.86,131.25,87.42,3.56
476,senador guiomard,20,BR,1577326314,100,-10.15,-67.74,78.8,2.24
477,niteroi,0,BR,1577326314,73,-29.95,-51.16,84.0,8.05
478,ust-kuyga,100,RU,1577326314,92,70.0,135.55,-29.13,1.92
479,nuuk,2,GL,1577326314,78,64.17,-51.74,15.8,8.05
480,hoquiam,20,US,1577326314,87,46.98,-123.89,42.8,4.7
481,karratha,0,AU,1577326314,77,-20.74,116.85,85.3,20.22
482,segovia,99,ES,1577326315,100,40.95,-4.12,46.0,3.36
483,antsohihy,93,MG,1577326315,86,-14.88,47.99,75.63,4.21
484,port hedland,75,AU,1577326315,75,-20.31,118.58,89.6,16.11
485,saurimo,100,AO,1577326315,97,-9.66,20.4,65.41,2.1
486,kailua,90,US,1577326316,94,21.39,-157.74,77.0,6.93
487,sur,0,OM,1577326316,53,22.57,59.53,65.3,6.91
488,sarangani,100,PH,1577326316,78,5.4,125.46,82.96,12.55
489,mo i rana,58,NO,1577326316,80,66.32,14.15,13.66,2.39
490,reggio di calabria,40,IT,1577326316,82,38.11,15.66,59.0,4.7
491,batagay-alyta,54,RU,1577326317,68,67.8,130.41,-26.48,2.19
492,airai,88,TL,1577326317,47,-8.93,125.41,85.44,6.67
493,puerto colombia,40,CO,1577326317,83,10.99,-74.96,82.4,4.7
494,saint-joseph,24,FR,1577326317,87,43.56,6.97,50.0,3.36
495,wonthaggi,34,AU,1577326317,69,-38.6,145.59,73.99,9.46
496,ponta delgada,40,PT,1577326317,72,37.73,-25.67,64.4,14.99
497,tessalit,0,ML,1577326318,23,20.2,1.01,58.86,10.65
498,japura,73,ID,1577326318,77,-0.42,102.29,82.63,2.59
499,zigong,94,CN,1577326318,32,29.34,104.78,48.97,6.55
500,ostersund,84,SE,1577326318,92,63.18,14.64,26.01,5.12
501,lloydminster,20,CA,1577326318,85,53.28,-110.01,12.2,10.29
502,malters,40,CH,1577326318,93,47.04,8.18,39.2,2.24
503,yumen,0,CN,1577326318,39,40.29,97.04,19.09,22.75
504,mantua,0,IT,1577326319,100,45.16,10.79,45.0,5.82
505,koulikoro,0,ML,1577326319,34,12.86,-7.56,64.4,4.7
506,inhambane,0,MZ,1577326252,86,-23.87,35.38,79.84,12.19
507,simoes,76,BR,1577326319,41,-7.6,-40.82,87.15,12.46
508,san quintin,4,PH,1577326319,56,17.54,120.52,87.26,4.23
509,avera,1,US,1577326319,87,33.19,-82.53,48.2,5.12
510,winfield,1,US,1577326319,44,37.24,-97.0,60.8,16.11
511,bam,0,IR,1577326319,37,29.11,58.36,49.87,0.74
512,hurricane,90,US,1577326319,93,37.18,-113.29,37.4,4.7
513,koslan,100,RU,1577326319,94,63.46,48.9,13.51,8.12
514,itoman,75,JP,1577326320,78,26.12,127.67,75.2,9.17
515,bulungu,100,CD,1577326320,97,-4.54,18.6,69.93,0.76
516,coahuayana,0,MX,1577326320,46,18.62,-100.35,73.96,4.07
517,moose factory,1,CA,1577326294,92,51.26,-80.61,10.4,5.82
518,warka,75,PL,1577326321,93,51.79,21.18,42.01,9.17
519,denpasar,20,ID,1577326322,74,-8.65,115.22,87.8,6.93
520,denizli,75,TR,1577326322,100,37.77,29.09,37.4,5.82
521,atbasar,0,KZ,1577326322,64,51.81,68.36,6.96,5.19
522,alikalia,0,SL,1577326323,71,9.15,-11.39,62.78,0.29
523,vadlapudi,34,IN,1577326323,74,14.32,79.8,75.97,3.91
524,khasan,100,RU,1577326323,52,42.43,130.64,19.76,7.54
525,hualmay,63,PE,1577326323,84,-11.1,-77.61,65.17,3.33
526,ewa beach,90,US,1577326243,94,21.32,-158.01,78.8,9.17
527,roura,100,GF,1577326323,94,4.73,-52.33,78.8,2.13
528,faanui,100,PF,1577326323,82,-16.48,-151.75,79.18,19.06
529,verkhnechusovskiye gorodki,100,RU,1577326326,84,58.17,57.11,18.54,2.73
530,norwich,100,GB,1577326330,94,52.63,1.29,37.4,3.36
531,kananga,100,CD,1577326331,97,-5.9,22.41,67.8,1.92
532,grenville,90,CA,1577326331,67,45.62,-74.6,25.0,6.93
533,luau,100,CD,1577326332,99,-10.7,22.23,64.81,2.24
534,slave lake,90,CA,1577326334,79,55.28,-114.77,26.6,11.41
535,mercaderes,82,CO,1577326334,90,1.8,-77.16,64.26,3.0
536,saint-jerome,90,CA,1577326202,67,45.78,-74.0,25.0,6.93
537,williston,90,US,1577326334,100,48.15,-103.62,24.8,8.05
538,sola,100,TZ,1577326334,95,-3.17,33.8,64.26,4.16
539,kijang,93,KR,1577326015,49,35.24,129.21,46.4,5.82
